head_entity,tail_entity,probability
10290,15305,0.70929325
13121,12040,0.70929325
15343,10400,0.112910494
15167,10032,0.25700182
10195,24259,0.8927088
10797,11523,0.57936233
12258,16670,0.70929325
10545,13708,0.8927088
10943,10989,0.70929325
15837,22534,0.70929325
10343,23515,0.70929325
12053,13723,0.70929325
11131,13571,0.51672435
18679,11243,0.70929325
12840,11464,0.24503988
13653,18935,0.70929325
11190,10494,0.6107213
14610,17806,0.8927088
10019,15355,0.8927088
11986,16658,0.8927088
14170,21006,0.8927088
18617,20639,0.8927088
15167,15945,0.2495892
15687,11801,0.115418695
17334,18503,0.70929325
15941,21502,0.70929325
10968,18274,0.24503988
13024,15711,0.29883423
14544,13500,0.5258777
10187,12432,0.15044057
17329,10699,0.8927088
12623,10658,0.70929325
13366,11850,0.70929325
19876,10933,0.70929325
10476,12110,0.30131888
16403,10096,0.8927088
15961,18740,0.8927088
10148,17655,0.70929325
22900,14571,0.70929325
11596,15570,0.23251149
13985,21678,0.40943316
16287,19840,0.8927088
12043,11252,0.70929325
13927,23250,0.33819413
17309,13740,0.91864973
11285,11562,0.5100671
13698,10039,0.70929325
19005,10266,0.70929325
11168,21318,0.70929325
14109,14362,0.23727943
10822,10593,0.8927088
16981,13793,0.70929325
14806,12832,0.8927088
18951,14962,0.70929325
14587,12147,0.8927088
18151,12958,0.70929325
13007,20077,0.70929325
10108,10785,0.6167959
13564,18594,0.8927088
17067,14584,0.70929325
22487,12148,0.8927088
14036,16956,0.19832043
22593,19675,0.8927088
19772,17369,0.70929325
10589,22460,0.70929325
12559,12034,0.8927088
11056,24591,0.22436893
24007,12777,0.70929325
11112,13024,0.70929325
10689,12852,1.0
21329,11143,0.70929325
13944,14883,0.70929325
12005,10558,0.3456186
18372,20041,0.8927088
20967,10593,0.8927088
13624,24346,0.8927088
13469,15979,0.70929325
19132,10892,0.5258777
14922,15730,0.24808145
23457,12126,0.8927088
16509,11403,0.70929325
13560,20454,0.20904945
11994,11994,0.5258777
14792,18088,0.24041097
11026,24938,0.5095047
10720,11485,0.70929325
18744,22292,0.70929325
21508,21230,0.70929325
15994,14435,0.2495892
11201,12652,0.70929325
20349,10608,0.70929325
12740,23726,0.70929325
11706,11706,0.5258777
17447,13853,0.70929325
13638,13370,0.105240025
10961,12079,0.8927088
11361,24189,0.73354954
10637,10378,0.8927088
11627,13102,0.17941149
16234,16234,0.5258777
16479,12087,0.70929325
12978,21074,0.12998821
17235,11149,0.8927088
10165,11014,0.70929325
11512,10073,0.70929325
10247,24744,0.9843766
23138,12912,0.70929325
10045,23443,0.70929325
11117,11228,0.70929325
10839,16512,0.39421162
12392,15677,0.24503988
16094,13986,0.70929325
12626,11276,0.31924534
23598,14053,0.70929325
11281,20143,0.70929325
12926,12784,0.8927088
12890,17910,0.5258777
17358,12925,0.34246215
15879,16775,0.70929325
19508,11714,0.5258777
12495,13476,0.70929325
16139,16343,0.8927088
24437,17781,0.8927088
10515,10968,0.5924375
19067,13949,0.70929325
12172,20419,0.70929325
15256,10312,1.0
11084,14279,0.70929325
11948,20827,0.31103054
14171,21545,0.8927088
10217,11025,1.0
16457,10225,0.70929325
23406,23406,0.5258777
20255,21663,0.70929325
15799,15194,0.38982323
14299,10882,0.8927088
12107,18282,0.70929325
11561,11993,0.12998821
13799,15037,0.8927088
12737,11788,0.70929325
14463,15906,0.70929325
11630,13922,0.8927088
22679,16219,0.8927088
13465,14815,0.70929325
12003,10146,0.36864293
11259,10183,0.32496074
12775,15293,0.8927088
16605,16469,0.6889495
16758,10334,0.8927088
12982,14186,0.3392676
23052,20826,0.70929325
14976,20897,0.70929325
23961,19722,0.70929325
15645,13275,0.8927088
13873,14646,0.70929325
10051,11006,0.4587712
15375,13595,0.2555358
22527,10045,0.8927088
16384,21977,0.5258777
16261,10843,0.8927088
13848,12812,0.34246215
22491,19910,0.70929325
12121,22565,0.8927088
10374,11652,0.52107126
11792,15330,0.70929325
10808,14314,0.70929325
20011,22182,0.70929325
12528,24679,0.70929325
12179,12137,0.8927088
18385,11872,0.70929325
10987,12165,0.115418695
24318,13873,0.70929325
19535,10032,0.39508063
13052,12039,1.0
24018,12714,0.8927088
11923,11824,0.8927088
11480,11463,0.18330292
12837,16235,0.70929325
15771,15961,0.70929325
13762,11309,0.70929325
16189,14826,0.70929325
10485,13931,0.20373932
10130,13440,0.4896348
13048,11862,0.8927088
18939,18316,0.19832043
12257,11883,0.70929325
21299,10741,0.8927088
10375,10389,0.8927088
10088,15246,0.70929325
10600,11217,0.8927088
10127,13571,0.70929325
14605,15529,0.5258777
14700,10737,0.70929325
10708,12188,0.48349503
19134,13297,0.8927088
12559,16181,0.70929325
16925,13298,0.70929325
19117,18369,0.70929325
12151,12295,0.70929325
14640,24180,0.8927088
10789,13738,0.42382652
10738,17673,0.70929325
13513,11523,0.8927088
12110,12246,0.23090291
12797,14597,0.5258777
16624,16936,0.5258777
10406,14817,0.70929325
11921,24595,0.8927088
10451,20688,0.9843766
17728,10030,0.8927088
13526,14246,0.13698278
17342,11018,0.8927088
18114,11168,0.23727943
12716,11775,0.70929325
12020,10310,0.8927088
10394,10892,0.5258777
12977,11412,0.70929325
17882,12942,0.70929325
10398,22671,0.70929325
12172,12351,0.70929325
16497,10417,0.8927088
15287,10260,0.70929325
20562,11490,0.70929325
13778,21368,0.70929325
14314,14417,0.115418695
10654,11172,0.105240025
14385,14161,0.70929325
11172,10687,0.6852084
17121,10147,0.70929325
17481,23026,0.8927088
20598,12537,0.70929325
12663,20679,0.70929325
13030,15330,0.70929325
17914,20667,0.70929325
19275,10503,0.70929325
17507,17507,0.5258777
10387,11818,0.8927088
22334,20587,0.8927088
17870,13848,0.70929325
18927,15275,0.70929325
12754,20938,0.8563141
16461,16038,0.70929325
12058,14792,0.47593415
11611,10550,0.8927088
10285,11441,0.43225193
22200,10108,0.8927088
18503,19629,0.70929325
15301,14070,0.8927088
12045,13057,0.70929325
12892,23199,0.70394737
13257,24594,0.5258777
13681,10251,0.70929325
12942,11082,0.23727943
22912,15811,0.8927088
18571,18371,0.70929325
18996,18996,0.5258777
12359,12359,0.5258777
11416,11814,0.8927088
24130,20706,0.70929325
22316,15891,0.70929325
10516,15864,0.70929325
15200,13134,0.70929325
24155,17958,0.70929325
10927,17931,0.35486814
13298,11948,0.5771916
13801,11865,0.27398813
12505,22056,0.8927088
11520,10893,0.70929325
15317,11178,0.8927088
21492,21492,0.5258777
12339,11471,0.16738157
11509,17152,0.70929325
19686,19686,0.5258777
15904,23209,0.70929325
11890,20309,0.17941149
13173,11850,0.105240025
24409,10045,0.8927088
20653,10027,0.70929325
22174,13671,0.70929325
10660,21660,0.8998874
15430,20818,0.48224977
10517,11728,0.7066338
14254,12447,0.77564716
13851,10147,1.0
10344,18990,0.70929325
10907,13507,0.8927088
10255,12040,0.5295566
13246,15139,0.70929325
12776,10995,0.70929325
18674,21330,0.70929325
11299,19833,0.54378104
14908,11711,0.70929325
12811,10777,0.70929325
17318,17318,0.5258777
10207,18597,0.70929325
19895,24393,0.8927088
10447,15839,0.70929325
10485,18284,0.11790334
16216,16587,0.5258777
17270,11584,0.70929325
10968,10198,0.8927088
10036,11425,0.34666246
14639,15985,0.70929325
10352,12695,0.5633203
18900,10753,0.8927088
10093,11733,0.9843766
11583,10148,0.20194532
12248,22348,0.8927088
13045,12223,0.8927088
11921,11569,0.8827324
10748,18335,0.5981371
11939,11276,0.29506296
10990,15473,0.70929325
12754,11523,0.115418695
17796,10913,0.70929325
10826,24383,0.8927088
12075,14149,0.18903482
13205,12294,0.6048969
17911,17911,0.5258777
19980,21317,0.70929325
10091,10091,0.9843766
14583,13571,0.70929325
10094,12113,0.70929325
12341,15689,0.8689136
16756,14058,0.42069498
10803,22292,0.6099521
17404,13933,0.5258777
13307,13933,0.5258777
16212,11204,0.30863583
20946,22017,0.8927088
13940,15246,0.70929325
12291,12053,0.70929325
21814,14057,0.70929325
12893,12893,0.5258777
15240,19840,0.70929325
10843,23934,0.22436893
13786,11080,0.110378295
20742,14458,0.8927088
13343,24798,0.436737
10314,11784,0.8927088
13764,16120,0.70929325
11329,16366,0.8927088
10421,24633,0.13927382
22672,24145,0.8927088
20243,20510,0.5741223
11686,10972,0.49504137
10739,14467,0.23727943
23019,16905,0.70929325
10513,20531,0.70929325
10189,10189,0.5258777
17598,16242,0.70929325
12240,17985,0.5258777
19436,18207,0.70929325
16408,13449,0.70929325
10399,12744,0.8927088
10865,12811,0.8927088
12305,16123,0.5258777
11326,10312,0.5696749
16330,15799,0.70929325
11616,10841,0.9295765
17432,10045,0.54029596
13415,12537,0.70929325
14822,12332,0.5382837
11871,10841,0.70929325
10120,12058,0.8927088
11306,13222,0.70929325
21566,11115,0.24041097
22352,13023,0.70929325
22045,13987,0.70929325
12045,14584,0.70929325
12081,13400,0.12036487
12823,11419,0.70929325
17917,12051,0.70929325
11558,16143,0.70929325
15028,16085,0.70929325
10875,21562,0.105240025
22362,21795,0.70929325
14976,12188,0.5117472
10968,14008,0.70929325
13712,12301,0.36184517
17425,11130,0.36184517
12703,12383,0.70929325
13030,13759,0.70929325
10543,11090,0.70929325
10930,14117,0.70929325
14939,22475,0.70929325
10234,13927,0.20729122
18710,12537,0.70929325
10967,20650,0.115418695
10895,11035,0.29506296
11091,14203,0.70929325
10420,17585,0.4968193
10919,12342,0.70929325
10902,10425,0.8927088
23595,19307,0.8927088
11326,10080,0.8773192
10378,12104,0.8927088
10023,12132,0.89742947
11876,11523,0.70929325
13134,12104,0.8927088
20017,16785,0.8927088
21607,14887,0.70929325
13027,13029,0.70929325
10701,10702,0.70929325
11565,11309,0.70929325
10330,17094,0.9971623
22167,13801,0.70929325
13523,10061,0.70929325
10318,11601,0.70929325
10506,20873,0.34246215
13554,11547,0.70929325
10368,14885,1.0
15837,11547,0.38625938
22205,13343,0.5258777
16374,16374,0.8927088
13257,16006,0.8927088
13756,15513,0.45671725
18905,15110,0.70929325
13967,17832,0.70929325
19206,21746,0.70929325
23540,16612,0.8927088
15080,23412,0.70929325
12395,14542,0.42460364
14039,19106,0.13698278
10440,11813,0.8927088
14141,14141,0.5258777
12228,19840,0.8927088
18247,19395,0.2555358
