head_entity,tail_entity,probability
10000,10966,0.4375
10001,14098,0.4375
10002,12356,1.0
10003,11934,0.4375
10004,29258,0.4375
10005,29451,0.9974462
10006,26281,0.4375
10007,19145,0.4375
10008,14027,0.4375
10009,12372,1.0
10010,26430,1.0
10011,10092,0.859375
10012,26357,0.859375
10013,20287,1.0
10014,12014,0.859375
10015,10020,0.99972665
10016,10617,0.4375
10017,10006,0.4375
10018,10006,0.4375
10019,12962,1.0
10020,10753,1.0
10021,18362,0.71875
10022,11507,0.96484375
10023,12798,1.0
10024,10280,0.4375
10025,10107,1.0
10026,10969,0.4375
10027,11750,1.0
10028,11691,0.71875
10029,10006,0.4375
10005,31083,1.0
10030,16530,0.4375
10031,10253,1.0
10032,10606,1.0
10033,24597,0.9936497
10034,11906,0.9999427
10035,15357,0.99121094
10036,14410,0.71875
10037,10157,0.9987373
10038,13037,0.9824219
10039,30808,0.859375
10040,30330,0.9998627
10041,10574,1.0
10042,10006,0.99780273
10043,11959,0.4375
10044,10323,0.9998156
10045,11964,0.9015276
10046,12091,0.71875
10047,10130,1.0
10048,10396,1.0
10049,25458,1.0
10050,11401,0.4375
10051,24388,1.0
10039,29245,0.859375
10052,14185,0.9985407
10053,13281,1.0
10054,11244,0.71875
10055,10072,1.0
10056,13527,0.9994507
10057,11269,1.0
10058,32192,1.0
10059,11632,1.0
10060,10875,0.4375
10061,22394,1.0
10062,13240,0.4375
10063,20801,1.0
10064,10396,0.9999914
10065,10323,0.929692
10066,12179,0.71875
10067,10867,0.4375
10068,31254,0.4375
10069,17923,0.4375
10070,19670,1.0
10071,18698,0.4375
10072,23668,0.4375
10073,15232,0.859375
10074,10192,0.859375
10075,10061,0.71875
10076,10033,0.4375
10077,10844,0.71875
10078,10711,0.4375
10079,11072,0.859375
10080,10811,0.99972534
10081,27308,0.87181
10082,13943,0.859375
10083,13361,0.99708736
10084,10006,0.4375
10085,14099,0.4375
10086,28034,1.0
10087,10285,0.99996567
10088,13270,1.0
10061,11912,0.98797995
10089,14709,0.4375
10090,30257,1.0
10091,10006,0.4375
10092,26329,1.0
10093,17234,0.4375
10094,10448,0.9998627
10095,10204,1.0
10096,12023,0.9998177
10097,13630,0.4375
10098,10485,0.4375
10099,23515,0.4375
10100,20713,0.4375
10101,19791,0.9999999
10102,11180,0.859375
10103,14427,0.71875
10104,11197,0.9999519
10105,10690,0.4375
10106,14199,0.859375
10107,24322,1.0
10108,10696,0.99560547
10109,11603,1.0
10005,18417,1.0
10110,11563,0.4375
10111,10286,0.4375
10112,10122,1.0
10113,10966,0.99121094
10114,18102,0.9971934
10115,14159,0.4375
10006,31957,0.71875
10116,17509,1.0
10117,18626,0.4375
10036,26705,1.0
10118,15449,0.99121094
10119,30414,0.9998611
10120,10699,1.0
10121,18334,1.0
10122,28895,0.4375
10123,12543,0.859375
10124,10535,1.0
10125,10339,0.9999998
10126,11369,1.0
10127,27210,0.99121094
10128,10526,1.0
10129,10723,0.71875
10058,12121,0.71875
10130,10445,0.9994507
10131,14241,0.4375
10132,26912,0.4375
10006,14604,0.9998627
10133,15844,0.71875
10134,10467,0.4375
10135,14952,0.63083047
10136,20368,0.71875
10118,13020,0.4375
10137,11617,1.0
10119,27927,0.96484375
10138,23693,0.4375
10139,19179,0.96957314
10140,23364,1.0
10141,20104,0.99121094
10142,10303,0.859375
10143,13106,1.0
10144,10448,0.859375
10145,18483,1.0
10146,10520,0.859375
10147,10520,1.0
10148,11390,0.4375
10149,11550,0.4375
10150,26616,0.9063648
10151,12179,1.0
10152,10503,1.0
10036,30492,0.9824219
10153,11533,0.859375
10154,10425,0.9296875
10155,11375,0.859375
10156,15654,0.98781306
10157,21887,0.71875
10158,10432,0.9999925
10159,30055,1.0
10160,15332,0.71875
10161,28815,0.96484375
10123,12778,0.99560547
10162,10157,0.71875
10163,19704,0.4375
10006,10940,1.0
10049,10462,0.859375
10164,10058,1.0
10165,10006,0.9994507
10166,22935,0.859375
10167,10039,0.859375
10168,19000,0.9999992
10169,19281,0.4375
10170,19634,0.9296875
10006,14222,0.859375
10171,10281,0.9296875
10172,16559,0.4375
10173,13220,0.859375
10174,11705,0.4375
10175,14558,0.4375
10176,19873,0.99121094
10177,10323,0.859375
10178,14947,0.9856866
10179,10349,0.4375
10122,33004,0.859375
10180,18718,0.4375
10181,16429,0.859375
10182,25887,0.71875
10033,24525,0.97835076
10183,10708,1.0
10184,12494,1.0
10185,10157,0.4375
10186,10651,1.0
10187,15135,1.0
10188,10834,0.99000704
10189,10535,0.4375
10190,10058,0.859375
10191,10022,0.9296875
10192,14990,0.71875
10193,17851,1.0
10194,11831,0.4375
10059,10141,0.8212254
10195,11831,0.4375
10196,15632,0.4375
10197,10908,1.0
10198,13014,1.0
10199,10096,0.9999973
10122,29987,0.9296875
10200,19836,0.4375
10201,13334,1.0
10202,10526,0.4375
10203,22685,1.0
10204,13875,0.99998283
10205,10323,0.99981624
10063,29286,1.0
10206,11772,0.9998627
10107,15257,1.0
10207,10006,0.859375
10208,12358,0.4375
10209,18449,0.4375
10210,10049,0.99999994
10211,10227,1.0
10212,10078,0.859375
10213,10006,0.99999994
10214,20937,0.75993806
10215,26857,0.4375
10216,10453,0.99780273
10217,27808,0.4375
10218,21076,0.9296875
10219,19906,0.4375
10220,10929,0.71875
10036,13553,0.99999785
10221,10015,0.4375
10222,10586,0.96484375
10223,16825,0.4375
10224,15774,0.4375
10225,10122,0.4375
10226,10746,0.9999966
10227,13973,0.99796784
10228,13294,0.9999957
10229,19738,0.859375
10230,25216,0.9999977
10231,25884,1.0
10232,12026,0.859375
10233,16092,0.4375
10234,10006,0.71875
10192,11821,0.99774677
10235,10231,0.41926318
10236,25389,0.4375
10237,10250,0.9296875
10086,11011,1.0
10238,12472,0.859375
10239,10542,1.0
10122,16370,0.859375
10240,19167,1.0
10241,25931,0.99999976
10242,10761,1.0
10243,12304,0.859375
10244,10217,1.0
10245,10010,1.0
10246,25323,0.9296875
10247,10005,0.99528617
10248,25229,0.99999994
10204,27462,0.9296875
10249,10899,0.4375
10006,28864,0.4375
10250,11329,0.9296875
10251,10432,0.4375
10252,10323,0.4375
10253,15688,1.0
10254,11165,0.4375
10255,24963,1.0
10256,11222,0.96484375
10257,10218,0.859375
10258,26151,0.96484375
10059,22390,0.4375
10243,10086,1.0
10259,11291,0.9999991
10260,10040,0.4375
10261,10096,1.0
10262,31880,0.96484375
10263,10006,1.0
10264,31728,0.9994507
10265,13051,0.9996019
10266,10127,0.99837726
10267,10192,0.71875
10049,28906,0.4375
10012,12427,0.9296875
10268,26918,1.0
10269,10708,1.0
10270,12871,0.71875
10271,16497,0.859375
10272,14280,1.0
10273,10016,0.9971191
10122,27330,1.0
10274,10844,1.0
10275,14090,0.4375
10276,28072,0.99121094
10277,21683,0.39479065
10059,16990,1.0
10278,10600,0.4375
10279,13296,0.4375
10280,10202,0.859375
10281,31971,0.71875
10192,11430,0.71875
10078,12503,0.9296875
10282,11267,0.4375
10283,14302,0.4375
10284,10015,0.4375
10006,15231,0.859375
10169,16682,0.4375
10285,10151,0.99780273
10286,17379,1.0
10287,11019,0.4375
10016,10598,0.9296875
10288,19871,1.0
10289,10356,0.859375
10290,12845,0.99999297
10291,22519,0.4375
10137,11234,1.0
10292,15422,0.99995464
10293,10844,0.9998627
10294,10422,0.4375
10295,23500,0.4375
10296,12996,0.859375
10297,11959,1.0
10298,15679,1.0
10299,12079,0.98527145
10300,10006,0.859375
10086,18971,1.0
10301,10052,1.0
10302,13274,1.0
10303,10425,0.71875
10304,15400,0.71875
10305,11781,0.4375
10306,10879,0.4375
10061,20648,0.9607445
10049,10432,0.9999326
10307,28025,0.99993134
10308,12230,0.859375
10107,21582,0.4375
10309,12348,1.0
10310,17323,1.0
10157,23527,0.859375
10311,10079,0.4375
10312,34769,0.71875
10313,11823,0.859375
10314,10028,0.99972534
10157,22122,0.99121094
10315,11090,0.71875
10316,11363,1.0
10317,10461,0.71875
10318,12193,0.9296875
10319,12671,1.0
10320,10250,0.859375
10321,10006,0.9852102
10322,11787,0.71875
10323,22997,0.859375
10324,10633,0.9997516
10020,26609,0.4375
10325,11165,1.0
10006,27516,0.4375
10006,10453,0.9296875
10326,10493,0.859375
10327,12752,1.0
10328,12785,1.0
10329,12653,0.4375
10006,25444,0.9824219
10006,16642,0.4375
10330,16075,1.0
10331,10122,0.4375
10332,10028,1.0
10333,14445,0.9667887
10334,10432,0.859375
10141,19984,1.0
10335,26750,1.0
10336,10396,1.0
10337,10006,0.9296875
10338,13279,0.4375
10123,10036,1.0
10339,14966,1.0
10340,10370,0.9994507
10341,26036,0.71875
10342,22331,1.0
10343,10418,0.982423
10344,11701,0.4375
10345,12620,0.9994507
10281,11222,0.96484375
10346,10684,0.9999998
10347,13006,0.99999243
10348,10049,1.0
10349,13415,1.0
10260,10256,0.859375
10350,10096,1.0
10078,25172,0.859375
10351,10349,0.99999577
10352,15486,0.4375
10122,30890,0.9296875
10353,10227,1.0
10354,11001,1.0
10355,10325,0.9998661
10356,12975,0.4375
10357,10171,0.4375
10358,20388,0.859375
10359,11164,0.4531352
10360,26363,0.859375
10361,10754,0.859375
10362,20876,1.0
10363,13996,1.0
10337,10192,0.96484375
10364,10681,0.4375
10365,15607,1.0
10366,13740,0.99560547
10367,11868,0.859375
10368,25496,0.4375
10369,10217,0.9824219
10370,22401,0.9792701
10371,29233,0.9824219
10372,16404,0.4375
10373,10811,0.859375
10201,10201,0.9998627
10061,12647,0.4375
10374,10014,0.96484375
10323,16292,0.859375
10375,10708,1.0
10376,10382,0.4375
10041,28045,0.4375
10061,23171,0.96484375
10377,27231,0.859375
10378,26858,0.9824219
10377,12301,0.859375
10379,10949,1.0
10380,10005,1.0
10381,25272,0.9999914
10382,17046,0.859375
10383,10955,0.859375
10036,11706,0.9527445
10384,12133,0.4375
10385,11115,0.859375
10141,20525,0.71875
10386,22555,0.4375
10387,13061,0.9999905
10388,10022,0.9824219
10389,12272,0.99972534
10390,10137,0.859375
10391,11424,0.4375
10392,11153,0.9999999
10393,27134,0.9629226
10394,13823,1.0
10395,13315,0.4375
10396,25284,0.4375
10397,28405,1.0
10398,13097,0.99121094
10399,10946,1.0
10400,17328,0.859375
10401,12288,0.96484375
10402,12671,0.4375
10257,10267,0.4375
10403,10007,0.99841094
10404,14000,0.96484375
10046,15290,0.9999999
10405,11503,1.0
10406,10039,1.0
