Original_Entity,Mapped_ID
concept:sportsteam:new_england_patriots,0
concept:city:univision,1
concept:vegetable:spinach,2
concept:model:lucian_grainge,3
concept:writer:john,4
concept:county:fox,5
concept:geopoliticallocation:new,6
concept:city:ohio,7
concept:company:apple001,8
concept:company:analog,9
concept:city:columbus,10
concept:clothing:long_sleeved_white_shirt,11
concept:dateliteral:n2008,12
concept:company:nintendo,13
concept:transportation:global_express_mail,14
concept:clothing:shorts,15
concept:insect:flies,16
concept:county:n7_percent,17
concept:building:major_world_center,18
concept:visualizablething:bryn_athyn,19
concept:clothing:shoes,20
concept:actor:william_gould,21
concept:visualartist:white,22
concept:city:kathmandu,23
concept:personmexico:jorge_vazquez,24
concept:insect:leafhoppers,25
concept:organization:fraternal_congress,26
concept:animal:small_mammals,27
concept:university:state_university,28
concept:religion:good_one,29
concept:sportsteam:pirates,30
concept:person:richard_clark,31
concept:geopoliticalorganization:asia,32
concept:publication:cnn__pbs,33
concept:company:hcl_technologies,34
concept:politicianus:hussein_obama,35
concept:stateorprovince:states,36
concept:company:wcco_tv,37
concept:city:manchester,38
concept:company:new_york,39
concept:country:u_s_,40
concept:clothing:blouses,41
concept:videogamesystem:n5,42
concept:stateorprovince:south_dakota,43
concept:personnorthamerica:charles_gibson,44
concept:ceo:richard_wagoner,45
concept:stateorprovince:south_carolina,46
concept:televisionstation:kbcw,47
concept:city:longmont,48
concept:stateorprovince:california,49
concept:politician:congress,50
concept:company:yahoo,51
concept:city:lima,52
concept:county:pilesgrove,53
concept:person:walter_mossberg,54
concept:city:joliet,55
concept:sportsteam:miami_dolphins,56
concept:geopoliticallocation:destinations,57
concept:sportsleague:mlb,58
concept:newspaper:journal,59
concept:ceo:steve_odland,60
concept:televisionnetwork:pbs,61
concept:personaustralia:jim_calhoun,62
concept:city:cleveland,63
concept:county:salida,64
concept:radiostation:wwti,65
concept:date:n1967,66
concept:website:microsoft_office_word,67
concept:geopoliticalorganization:arab_emirates,68
concept:personnorthamerica:john_kilpatrick,69
concept:city:page,70
concept:shoppingmall:shares,71
concept:stateorprovince:illinois,72
concept:weatherphenomenon:water,73
concept:city:brussels,74
concept:company:wpby_tv,75
concept:ceo:andrew_heyward,76
concept:musicartist:acid,77
concept:year:n1998,78
concept:city:d_c_,79
concept:mammal:mice,80
concept:geopoliticallocation:macedonia,81
concept:city:milan,82
concept:coach:kentucky,83
concept:time:n8_30_p_m_,84
concept:clothing:brown_pants,85
concept:country:republic,86
concept:personmexico:adrian_gonzalez,87
concept:city:st_louis,88
concept:county:god,89
concept:organization:soviet,90
concept:country:netherland,91
concept:clothing:pants,92
concept:ceo:fred_goodwin,93
concept:celebrity:safari,94
concept:city:redding,95
concept:city:new_york,96
concept:city:birmingham,97
concept:geopoliticallocation:tomball,98
concept:nondiseasecondition:mansion,99
concept:beverage:marlborough,100
concept:ceo:peter_chou,101
concept:city:rocky_hill,102
concept:musician:dimebag_darrell,103
concept:organization:atlanta_braves,104
concept:sportsteam:carolina_hurricanes_live_online,105
concept:animal:cattle,106
concept:insect:insects,107
concept:city:fairbanks,108
concept:newspaper:seattle_p_i,109
concept:musicartist:television,110
concept:sportsteam:charleston_cougars,111
concept:sportsteam:north_carolina_charlotte_49ers,112
concept:sportsteam:kansas_city_royals,113
concept:company:ktsf_tv,114
concept:bird:orioles,115
concept:person:tim,116
concept:bank:general_electric,117
concept:stateorprovince:pennsylvania,118
concept:city:vegas,119
concept:politician:nelson_mandela,120
concept:vegetable:lettuce,121
concept:sportsteam:ncaa_midwest_regionals,122
concept:stateorprovince:virginia,123
concept:city:abington,124
concept:sportsteam:loyola_marymount,125
concept:sportsteam:dallas_mavericks_tv_watch,126
concept:country:india,127
concept:person:ed_koch001,128
concept:city:sweden,129
concept:city:san_francisco,130
concept:clothing:black_sweatpants,131
concept:city:detroit,132
concept:biotechcompany:sprint,133
concept:sportsteam:kansas_city_chiefs,134
concept:company:merrill_lynch,135
concept:geopoliticallocation:place,136
concept:website:nbc_news,137
concept:geopoliticallocation:palermo,138
concept:city:greensboro,139
concept:company:sony001,140
concept:publication:nbc_universal,141
concept:blog:net,142
concept:dayofweek:monday,143
concept:country:culture,144
concept:company:chicago,145
concept:clothing:fedora,146
concept:clothing:black_jeans,147
concept:city:republic,148
concept:clothing:black_tracksuit_pants,149
concept:transportation:kansas_city,150
concept:personmexico:c_j__wilson,151
concept:book:such_water,152
concept:city:oklahoma_city,153
concept:visualartmovement:rome,154
concept:politicsblog:power_line,155
concept:stateorprovince:indiana,156
concept:televisionnetwork:cnn__pbs,157
concept:coach:chris_petersen,158
concept:visualizableobject:jersey,159
concept:biotechcompany:boeing,160
concept:company:world_wrestling_entertainment,161
concept:company:kfdm_tv,162
concept:writer:jon_talton,163
concept:stadiumoreventvenue:rogers_centre,164
concept:charactertrait:relatives,165
concept:bank:u_s,166
concept:publication:robb_report,167
concept:geopoliticallocation:uttar_pradesh,168
concept:company:los_angeles,169
concept:continent:europe,170
concept:profession:associate,171
concept:musicartist:news,172
concept:female:scene,173
concept:professionalorganization:wood_flooring_association,174
concept:sportsteam:ny_knicks,175
concept:geopoliticalorganization:tamaulipas,176
concept:televisionstation:kgtv_tv,177
concept:personus:ryan_braun,178
concept:island:key_largo,179
concept:blog:rob_christensen,180
concept:county:utah,181
concept:date:n1996,182
concept:sportsteam:oklahoma_city_university_stars,183
concept:mammal:dogs,184
concept:company:kgin,185
concept:company:continental,186
