head_entity,tail_entity,probability
14012,13836,0.889
14173,13928,0.323
10148,10130,0.237
12323,12205,0.37
12873,12255,0.746
13674,14407,0.183
12189,12310,0.235
14325,14069,0.752
12278,12186,0.254
13908,14011,0.284
13957,14206,0.329
14723,13681,0.54
12036,12240,0.581
14066,13795,0.547
10357,10205,0.473
10119,10291,0.351
10228,10250,0.898
12288,12196,0.436
12991,12788,0.161
12214,12305,0.349
13310,12514,0.589
12205,12271,0.37
13220,12056,0.394
10770,10896,0.901
12293,12192,0.47
12141,12313,0.282
10341,10943,0.175
13993,13845,0.388
10748,10290,0.329
12672,12794,0.963
13941,14163,0.329
12178,12311,0.282
14080,14117,0.213
12291,12236,0.175
10396,10057,0.612
12121,12282,0.282
14166,13845,0.388
13925,14217,0.329
11265,10552,0.325
13971,14150,0.311
13837,13994,0.388
10254,10057,0.898
14151,13925,0.329
14193,13896,0.329
14254,14719,0.614
12371,12263,0.185
12130,12142,0.235
10332,10610,0.469
14069,14049,0.921
10526,10598,0.731
14429,14365,0.353
14189,14004,0.311
13687,13809,0.547
12026,12015,0.551
12247,13136,0.688
13953,14167,0.284
10437,10653,0.185
13986,14212,0.323
12270,12230,0.39
10716,10171,0.202
12325,12237,0.571
12094,13258,0.83
10643,10438,0.445
14175,14190,0.493
14053,14041,0.921
10897,10738,0.165
14161,13901,0.323
14163,13962,0.169
12226,12126,0.47
12302,12163,0.901
13895,13946,0.323
13834,14179,0.562
14463,14405,0.507
13977,14162,0.47
12598,13593,0.47
11592,10240,0.65
10766,10789,0.404
12072,12715,0.339
14240,14256,0.394
10592,10051,0.731
12163,12318,0.39
12189,12279,0.191
10103,11257,0.281
13732,13831,0.56
10109,10413,0.237
11234,10040,0.215
14457,13647,0.237
14318,13649,0.92
12152,12453,0.442
12205,12294,0.37
14208,13995,0.183
10266,10144,0.25
12189,12458,0.569
12425,12081,0.42
12269,12162,0.175
12458,12199,0.165
13994,13964,0.329
13786,14166,0.47
14099,14658,0.54
12315,12224,0.217
12193,12320,0.15
13946,14001,0.581
13928,14213,0.323
14161,13925,0.329
10437,10629,0.445
13927,13844,0.559
10176,10169,0.288
13994,13901,0.188
14062,13792,0.547
13701,14351,0.355
12162,12237,0.56
10070,10530,0.538
10528,10052,0.897
13948,14206,0.188
12191,12296,0.37
14121,14120,0.463
13795,14063,0.547
14154,13943,0.169
13877,13847,0.493
11362,11364,0.378
12362,12602,0.571
13835,14151,0.596
10118,10291,0.351
12141,12288,0.282
13728,13721,0.545
11125,10841,0.527
14167,13896,0.329
12260,12258,0.923
14065,14046,0.921
12242,12245,0.923
12243,12238,0.83
13953,14217,0.412
12190,12142,0.588
10229,10056,0.898
12239,12385,0.808
13139,12257,0.589
12261,12382,0.896
10528,10228,0.846
10280,10154,0.351
12305,12151,0.282
13949,14189,0.329
10211,10551,0.171
14321,13739,0.323
13961,13844,0.266
13927,14150,0.323
12199,12180,0.889
11768,11769,0.473
14011,14171,0.229
13977,14216,0.47
10903,10173,0.351
14433,13797,0.402
12047,12030,0.581
12320,12200,0.582
